cal,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
3pt,120,medium,low,120,Low Density,4.415625,4.339576698246184,1.589625,1.9230061224645922,0.176625,0.1551342747853262,0.05457176004560474
3pt,120,medium,low,120,Medium Density,8.83125,9.958272925178271,3.17925,2.2422342816501084,0.35325,0.32181960404766025,0.05457176004560474
3pt,120,medium,low,120,High Density,17.6625,17.229021084671622,6.3585,6.649526371293598,0.7065,0.828753199105174,0.05457176004560474
3pt,120,medium,normal,120,Low Density,35.325,36.67470013808862,12.717,13.245123211156283,1.413,1.3641943267743848,-0.07030753471172561
3pt,120,medium,normal,120,Medium Density,70.65,70.79746374997913,25.434,25.89796567150688,2.826,3.0658921212169807,-0.07030753471172561
3pt,120,medium,normal,120,High Density,141.3,140.73357301088873,50.868,51.326639274112544,5.652,5.612899444767241,-0.07030753471172561
3pt,120,large,low,120,Low Density,4.415625,3.6142186614343568,1.589625,2.043737111650725,0.176625,0.6516476144521578,-0.40680239362969267
3pt,120,large,low,120,Medium Density,8.83125,8.946423004976431,3.17925,4.141212927763382,0.35325,-0.07823215616471392,-0.40680239362969267
3pt,120,large,low,120,High Density,17.6625,17.35817136795246,6.3585,6.024411316338746,0.7065,0.9020136038320383,-0.40680239362969267
3pt,120,large,normal,120,Low Density,35.325,35.89520871038447,12.717,13.045820203351543,1.413,1.5857968151736062,-0.051840139460994694
3pt,120,large,normal,120,Medium Density,70.65,70.8064037929036,25.434,25.694280656012893,2.826,3.8556733395286944,-0.051840139460994694
3pt,120,large,normal,120,High Density,141.3,138.0584449468162,50.868,50.216777400340675,5.652,6.27006823695114,-0.051840139460994694
3pt,135,small,low,135,Low Density,4.415625,5.94274572547486,1.589625,0.9918890985962685,0.176625,0.059771008596536584,-0.16304738102303498
3pt,135,small,low,135,Medium Density,8.83125,9.923759184617545,3.17925,3.5313230620572513,0.35325,0.8788744140998453,-0.16304738102303498
3pt,135,small,low,135,High Density,17.6625,16.640681261398495,6.3585,6.085283148736439,0.7065,1.2617284855992812,-0.16304738102303498
3pt,135,small,normal,135,Low Density,35.325,37.030274215557405,12.717,14.19071434499287,1.413,1.8392761033568021,-0.5847937319707196
3pt,135,small,normal,135,Medium Density,70.65,74.05169111908815,25.434,26.78677974492254,2.826,3.5319255561819496,-0.5847937319707196
3pt,135,small,normal,135,High Density,141.3,145.9526043931082,50.868,53.03637455903998,5.652,5.874886655088889,-0.5847937319707196
3pt,135,medium,low,135,Low Density,4.415625,5.30069858244366,1.589625,1.0614415434576814,0.176625,0.1993296530795113,0.3674969761719469
3pt,135,medium,low,135,Medium Density,8.83125,9.829232740707006,3.17925,3.0424209718344537,0.35325,0.3033937593157601,0.3674969761719469
3pt,135,medium,low,135,High Density,17.6625,18.74171863539495,6.3585,6.562803100577407,0.7065,0.3904491106073235,0.3674969761719469
3pt,135,medium,normal,135,Low Density,35.325,36.30860448971524,12.717,13.596208504636156,1.413,0.9626477806268445,-0.3613726710879179
